CustomerID,Recency,Frequency,Monetary,R_Score,M_Score,F_Score,RFM_Score,Segment
12347,2,7,4310.0,5,5,4,545,Champions
12348,75,4,1797.24,2,4,3,234,About to Sleep
12349,19,1,1757.55,4,4,1,414,Recent/New Customers
12350,310,1,334.40000000000003,1,2,1,112,Lost
12352,36,11,1545.41,3,4,5,354,Loyal Customers
12353,204,1,89.0,1,1,1,111,Lost
12354,232,1,1079.4,1,4,1,114,At Risk
12355,214,1,459.40000000000003,1,2,1,112,Lost
12356,23,3,2811.43,4,5,3,435,Loyal Customers
12357,33,1,6207.67,3,5,1,315,Promising Customers
12358,2,2,1168.06,5,4,2,524,Loyal Customers
12359,8,6,6182.9800000000005,5,5,4,545,Champions
12360,52,3,2662.06,3,5,3,335,Loyal Customers
12361,287,1,189.9,1,1,1,111,Lost
12362,3,13,5154.58,5,5,5,555,Champions
12363,110,2,552.0,2,3,2,223,About to Sleep
12364,8,4,1313.1,5,4,3,534,Loyal Customers
12365,291,3,320.69,1,2,3,132,At Risk
12367,4,1,168.9,5,1,1,511,Recent/New Customers
12370,51,4,3541.94,3,5,3,335,Loyal Customers
12371,45,2,1887.96,3,4,2,324,Promising Customers
12372,72,3,1298.04,2,4,3,234,About to Sleep
12373,311,1,364.6,1,2,1,112,Lost
12374,25,1,742.9300000000001,4,3,1,413,Recent/New Customers
12375,3,3,455.42,5,2,3,532,Loyal Customers
12377,315,2,1628.1200000000001,1,4,2,124,At Risk
12378,130,1,4008.62,2,5,1,215,About to Sleep
12379,82,3,850.29,2,3,3,233,About to Sleep
12380,22,5,2720.56,4,5,3,435,Loyal Customers
12381,5,6,1803.96,5,4,4,544,Champions
12383,185,6,1839.31,1,4,4,144,At Risk
12384,29,3,566.16,4,3,3,433,Loyal Customers
12386,338,2,401.9,1,2,2,122,Lost
12388,16,6,2780.6600000000003,4,5,4,445,Champions
12390,80,1,549.84,2,3,1,213,About to Sleep
12391,22,1,439.66,4,2,1,412,Recent/New Customers
12393,72,4,1582.6000000000001,2,4,3,234,About to Sleep
12394,64,2,1272.48,3,4,2,324,Promising Customers
12395,16,15,2998.28,4,5,5,455,Champions
12397,36,2,2409.9,3,5,2,325,Promising Customers
12398,46,1,1635.6599999999999,3,4,1,314,Promising Customers
12399,119,4,1108.65,2,4,3,234,About to Sleep
12401,303,1,84.3,1,1,1,111,Lost
12402,323,1,225.60000000000002,1,1,1,111,Lost
12403,50,2,409.7,3,2,2,322,Lost
12405,149,1,1710.39,2,4,1,214,About to Sleep
12406,22,3,3280.75,4,5,3,435,Loyal Customers
12407,50,5,1708.12,3,4,3,334,Loyal Customers
12408,33,9,2842.57,3,5,4,345,Loyal Customers
12409,79,7,11056.93,2,5,4,245,About to Sleep
12410,301,3,681.08,1,3,3,133,At Risk
12412,75,3,1226.88,2,4,3,234,About to Sleep
12413,67,5,694.15,3,3,3,333,Loyal Customers
12414,217,3,562.4100000000001,1,3,3,133,At Risk
12415,24,26,123725.45,4,5,5,455,Champions
12417,3,12,3578.8,5,5,5,555,Champions
12418,113,1,668.58,2,3,1,213,About to Sleep
12420,64,1,600.39,3,3,1,313,Promising Customers
12421,16,5,806.27,4,3,3,433,Loyal Customers
12422,96,3,803.5600000000001,2,3,3,233,About to Sleep
12423,1,9,1849.1100000000001,5,4,4,544,Champions
12424,163,2,1760.96,2,4,2,224,About to Sleep
12425,78,1,777.2,2,3,1,213,About to Sleep
12426,195,1,582.73,1,3,1,113,Lost
12427,12,5,708.37,4,3,3,433,Loyal Customers
12428,26,12,7877.2,4,5,5,455,Champions
12429,9,4,3750.4,5,5,3,535,Loyal Customers
12430,43,1,256.4,3,2,1,312,Lost
12431,36,18,6348.89,3,5,5,355,Loyal Customers
12432,43,5,5059.32,3,5,3,335,Loyal Customers
12433,1,7,13375.87,5,5,4,545,Champions
12434,85,4,765.19,2,3,3,233,About to Sleep
12435,80,2,7829.89,2,5,2,225,About to Sleep
12436,100,1,509.01,2,3,1,213,About to Sleep
12437,2,19,4896.66,5,5,5,555,Champions
12438,14,2,2906.85,4,5,2,425,Loyal Customers
12441,367,1,173.55,1,1,1,111,Lost
12442,3,1,172.06,5,1,1,511,Recent/New Customers
12444,21,5,5005.46,4,5,3,435,Loyal Customers
12445,22,1,133.4,4,1,1,411,Recent/New Customers
12446,58,1,1002.3100000000001,3,4,1,314,Promising Customers
12447,243,1,476.49,1,2,1,112,Lost
12448,44,1,449.45,3,2,1,312,Lost
12449,22,4,4067.29,4,5,3,435,Loyal Customers
12450,156,2,197.88,2,1,2,221,About to Sleep
12451,11,6,8933.52,5,5,4,545,Champions
12452,17,3,428.57000000000005,4,2,3,432,Loyal Customers
12453,134,1,707.09,2,3,1,213,About to Sleep
12454,53,2,5.684341886080802e-14,3,1,2,321,Lost
12455,73,6,2466.86,2,5,4,245,About to Sleep
12456,44,4,3153.89,3,5,3,335,Loyal Customers
12457,58,12,1917.78,3,4,5,354,Loyal Customers
12458,71,2,947.4,2,4,2,224,About to Sleep
12461,94,2,826.88,2,3,2,223,About to Sleep
12462,2,4,1124.01,5,4,3,534,Loyal Customers
12463,46,7,1303.63,3,4,4,344,Loyal Customers
12464,10,8,1212.05,5,4,4,544,Champions
12465,8,3,733.89,5,3,3,533,Loyal Customers
12468,143,3,724.04,2,3,3,233,About to Sleep
12471,2,49,18705.52,5,5,5,555,Champions
12472,31,13,6229.4800000000005,4,5,5,455,Champions
12473,29,9,2837.73,4,5,4,445,Champions
12474,17,30,7064.77,4,5,5,455,Champions
12475,54,1,723.38,3,3,1,313,Promising Customers
12476,1,20,6546.58,5,5,5,555,Champions
12477,23,9,13117.01,4,5,4,445,Champions
12478,4,1,680.99,5,3,1,513,Recent/New Customers
12479,4,3,477.3,5,2,3,532,Loyal Customers
12480,28,4,3281.63,4,5,3,435,Loyal Customers
12481,23,11,5574.36,4,5,5,455,Champions
12483,17,13,2327.13,4,5,5,455,Champions
12484,33,8,4480.87,3,5,4,345,Loyal Customers
12488,10,3,1298.66,5,4,3,534,Loyal Customers
12489,336,1,334.93,1,2,1,112,Lost
12490,5,10,5417.93,5,5,4,545,Champions
12491,39,1,460.40000000000003,3,2,1,312,Lost
12492,63,2,263.21000000000004,3,2,2,322,Lost
12493,166,3,416.79,2,2,3,232,About to Sleep
12494,10,13,1139.3500000000001,5,4,5,554,Champions
12497,82,1,1043.1,2,4,1,214,About to Sleep
12498,21,3,403.70000000000005,4,2,3,432,Loyal Customers
12500,23,13,4206.2699999999995,4,5,5,455,Champions
12501,315,2,2089.68,1,5,2,125,At Risk
12502,96,5,3723.87,2,5,3,235,About to Sleep
12504,18,4,114.0,4,1,3,431,Loyal Customers
12506,233,1,73.5,1,1,1,111,Lost
12507,134,4,1258.06,2,4,3,234,About to Sleep
12508,26,2,397.88,4,2,2,422,Loyal Customers
12509,284,1,176.5,1,1,1,111,Lost
12510,143,2,982.5699999999999,2,4,2,224,About to Sleep
12512,66,2,132.18,3,1,2,321,Lost
12513,85,2,586.79,2,3,2,223,About to Sleep
12514,267,1,1017.6800000000001,1,4,1,114,At Risk
12515,353,1,383.7,1,2,1,112,Lost
12516,78,2,1312.06,2,4,2,224,About to Sleep
12517,28,6,2443.65,4,5,4,445,Champions
12518,1,5,2056.89,5,5,3,535,Loyal Customers
12519,64,1,330.84000000000003,3,2,1,312,Lost
12520,79,6,2582.51,2,5,4,245,About to Sleep
12521,143,1,599.68,2,3,1,213,About to Sleep
12522,39,2,192.72,3,1,2,321,Lost
12523,2,13,1745.57,5,4,5,554,Champions
12524,9,8,4485.72,5,5,4,545,Champions
12526,1,3,1316.66,5,4,3,534,Loyal Customers
12527,82,3,348.71000000000004,2,2,3,232,About to Sleep
12528,9,8,1922.28,5,4,4,544,Champions
12530,60,5,1623.63,3,4,3,334,Loyal Customers
12531,15,1,125.22,4,1,1,411,Recent/New Customers
12532,30,1,349.83000000000004,4,2,1,412,Recent/New Customers
12534,131,1,1089.18,2,4,1,214,About to Sleep
12535,92,2,716.35,2,3,2,223,About to Sleep
12536,8,5,4106.82,5,5,3,535,Loyal Customers
